ID;DOMICILIO;LOCALIDAD;PROVINCIA
196;Marcelo T de Alvean 1168;Mar del Plata;Buenos Aires
82;Marcelo T. de Alvear 843;Mar del Plata;Buenos Aires
83;Marcelo T. de Alvear 852;Mar del Plata;Buenos Aires
229;Marcelo T. de Alvear 926;Mar del Plata;Buenos Aires
235;Moreno 3785;Mar del Plata;Buenos Aires
58;O'higgins 1165;Mar del Plata;Buenos Aires
145;Ortiz de Zarate 2980;Mar del Plata;Buenos Aires
250;Ortiz de Zárate 3237;Mar del Plata;Buenos Aires
216;Ortiz de Zarate 3378;Mar del Plata;Buenos Aires
242;Ortiz de Zárate 3394;Mar del Plata;Buenos Aires
114;Ortiz de Zárate 3414;Mar del Plata;Buenos Aires
154;Ortiz de Zárate 3441;Mar del Plata;Buenos Aires
108;Ortiz de Zárate 3683;Mar del Plata;Buenos Aires
187;Ortiz de Zárate 3855;Mar del Plata;Buenos Aires
199;Ortiz de Zarate 4045;Mar del Plata;Buenos Aires
77;Ortiz de Zárate 4055;Mar del Plata;Buenos Aires
162;Ortiz de Zarate 4105;Mar del Plata;Buenos Aires
55;Parque Industrial General Savio;Batán;Buenos Aires
8;Parque Industrial General Savio;Batán;Buenos Aires
182;Parque Industrial General Savio;Batán;Buenos Aires
246;Parque Industrial General Savio;Batán;Buenos Aires
186;Parque Industrial General Savio;Batán;Buenos Aires
208;Parque Industrial General Savio;Batán;Buenos Aires
140;Parque Industrial General Savio;Batán;Buenos Aires
179;Parque Industrial General Savio;Batán;Buenos Aires
255;Parque Industrial General Savio;Batán;Buenos Aires
226;Parque Industrial Puerto Nuevo  ;Batán;Buenos Aires
228;Pescadores 1098;Mar del Plata;Buenos Aires
89;Pescadores 540;Mar del Plata;Buenos Aires
64;Pescadores 601;Mar del Plata;Buenos Aires
188;Pescadores 823;Mar del Plata;Buenos Aires
131;Pescadores Esquina Ortiz de Zárate;Mar del Plata;Buenos Aires
177;Posadas 730;Mar del Plata;Buenos Aires
130;Rondeau 1150;Mar del Plata;Buenos Aires
219;Rondeau 839;Mar del Plata;Buenos Aires
69;San Salvador 3179;Mar del Plata;Buenos Aires
61;San Salvador 3199;Mar del Plata;Buenos Aires
118;San Salvador 3241;Mar del Plata;Buenos Aires
227;San Salvador 3845;Mar del Plata;Buenos Aires
119;San Salvador 4140;Mar del Plata;Buenos Aires
129;San Salvador 4447;Mar del Plata;Buenos Aires
232;San Salvador 4449;Mar del Plata;Buenos Aires
75;San Salvador 4524  ;Mar del Plata;Buenos Aires
194;San Salvador 4564;Mar del Plata;Buenos Aires
193;San Salvador 4763 ;Mar del Plata;Buenos Aires
57;San Salvador 4764;Mar del Plata;Buenos Aires
239;San Salvador 4779;Mar del Plata;Buenos Aires
110;San Salvador 4853;Mar del Plata;Buenos Aires
123;San Salvador 4865;Mar del Plata;Buenos Aires
97;Solís 3251;Mar del Plata;Buenos Aires
256;Solís 4255;Mar del Plata;Buenos Aires
245;Strobel 3775;Mar del Plata;Buenos Aires
167;Talcahuano 841;Mar del Plata;Buenos Aires
185;Triunvirato 1046;Mar del Plata;Buenos Aires
121;Triunvirato 1103;Mar del Plata;Buenos Aires
62;Vertiz 2957;Mar del Plata;Buenos Aires
134;Vertiz 2999;Mar del Plata;Buenos Aires
224;Vertiz 3092;Mar del Plata;Buenos Aires
234;Vertiz 3175;Mar del Plata;Buenos Aires
66;Vertiz 3230;Mar del Plata;Buenos Aires
230;Vertiz 3250;Mar del Plata;Buenos Aires
113;Vertíz 3347;Mar del Plata;Buenos Aires
65;Vertiz 3348;Mar del Plata;Buenos Aires
191;Vertiz 3350;Mar del Plata;Buenos Aires
252;Vertiz 3459;Mar del Plata;Buenos Aires
209;Vértiz 4703;Mar del Plata;Buenos Aires
